property_id,date_obtained,price,property_type,livable_area,heating_type,has_photovoltaic_panels,has_double_glazing,number_of_rooms,number_of_bathrooms,number_of_bedrooms,number_of_toilets,has_living_room,has_dining_room,has_attic,has_basement,has_terrace,terrace_surface,has_garden,garden_surface,energy_label,primary_energy_consumption,postal_code,latitude,longitude,year_built,building_condition,floor_number,total_floors,property_size,flood_zone_type,cadastral_income
11385574,18052024,1075000,HOUSE,130.0,FUELOIL,False,,,1.0,3,2.0,False,,,,,,,,C,299.0,9032,51.0758424,3.7073901,1992.0,GOOD,,,1578.0,NON_FLOOD_ZONE,0
11385574,16052024,1075000,HOUSE,130.0,FUELOIL,False,,,1.0,3,2.0,False,,,,,,,,C,299.0,9032,51.0758424,3.7073901,1992.0,GOOD,,,1578.0,NON_FLOOD_ZONE,0
11376913,16052024,715000,APARTMENT,242.0,,False,,15.0,2.0,2,1.0,False,,,,True,35.0,,,D,384.0,9000,51.055191,3.7240956,,,,,,NON_FLOOD_ZONE,0
11340812,18052024,289000,APARTMENT,73.0,ELECTRIC,False,True,7.0,1.0,2,1.0,True,,,,,,,,B,117.0,9000,51.0577142,3.7425528,1955.0,,,3.0,,NON_FLOOD_ZONE,0
11340812,16052024,289000,APARTMENT,73.0,ELECTRIC,False,True,7.0,1.0,2,1.0,True,,,,,,,,B,117.0,9000,51.0577142,3.7425528,1955.0,,,3.0,,NON_FLOOD_ZONE,0
11182861,18052024,359000,HOUSE,175.0,,True,True,,1.0,3,2.0,False,,,,,,,,,,9041,51.0979807,3.7661913,2024.0,GOOD,,2.0,137.0,NON_FLOOD_ZONE,0
11182861,16052024,359000,HOUSE,175.0,,True,True,,1.0,3,2.0,False,,,,,,,,,,9041,51.0979807,3.7661913,2024.0,GOOD,,2.0,137.0,NON_FLOOD_ZONE,0
11053072,18052024,349500,APARTMENT,81.0,GAS,False,True,8.0,1.0,2,,True,,,,True,10.0,,,A,77.0,9000,51.0509732,3.7012871,2019.0,GOOD,,4.0,,NON_FLOOD_ZONE,1001
11053072,16052024,349500,APARTMENT,81.0,GAS,False,True,8.0,1.0,2,,True,,,,True,10.0,,,A,77.0,9000,51.0509732,3.7012871,2019.0,GOOD,,4.0,,NON_FLOOD_ZONE,1001
11389178,18052024,465000,APARTMENT,109.0,,True,,10.0,1.0,3,1.0,True,,,,True,18.0,,,,,9031,51.0527655,3.6619822,,AS_NEW,,3.0,,,0
11389178,16052024,465000,APARTMENT,109.0,,True,,10.0,1.0,3,1.0,True,,,,True,18.0,,,,,9031,51.0527655,3.6619822,,AS_NEW,,3.0,,,0
11283154,16052024,425000,APARTMENT,112.0,ELECTRIC,,,,1.0,3,,False,,,,True,14.0,,,B,156.0,9000,51.0325586,3.7072869,2009.0,TO_BE_DONE_UP,,7.0,,,1112
