,property_id,date_obtained,price,livable_area,heating_type,has_photovoltaic_panels,has_double_glazing,number_of_bathrooms,number_of_bedrooms,number_of_toilets,has_living_room,has_attic,has_basement,has_terrace,terrace_surface,has_garden,garden_surface,energy_label,primary_energy_consumption,postal_code,latitude,longitude,year_built,building_condition,property_size,flood_zone_type,cadastral_income,age,price_sq,property_type_HOUSE
68130,11365526,2024-05-19,595.0,382.0,Unknown,False,False,1.0,3.0,3.0,False,True,True,True,0.0,False,0.0,F,540.0,9031,51.035236,3.6245261,1970.0,TO_BE_DONE_UP,2539.0,Unknown,1774.0,54.0,1.557591623036649,True
68546,11339034,2024-05-19,249.0,110.0,ELECTRIC,False,True,1.0,2.0,1.0,True,False,False,False,0.0,True,45.0,F,592.0,9050,51.0347745,3.7461441,,TO_BE_DONE_UP,100.0,NON_FLOOD_ZONE,685.0,,2.2636363636363637,True
124491,11305872,2024-05-19,339.0,161.0,GAS,False,False,1.0,4.0,2.0,False,True,True,False,0.0,False,0.0,E,471.0,9050,51.0267856,3.7489709,1956.0,TO_RENOVATE,217.0,NON_FLOOD_ZONE,819.0,68.0,2.1055900621118013,True
24577,11365467,2024-05-19,398.0,143.0,Unknown,False,False,1.0,3.0,2.0,False,False,False,False,0.0,False,0.0,F,1282.0,9032,51.0754869,3.7131365,1920.0,TO_RENOVATE,3581.0,NON_FLOOD_ZONE,812.0,104.0,2.7832167832167833,True
5130,11372963,2024-05-19,335.0,111.0,Unknown,False,False,1.0,2.0,1.0,False,False,False,False,0.0,False,0.0,F,563.0,9000,51.0658491,3.7076541,,TO_BE_DONE_UP,70.0,Unknown,255.0,,3.018018018018018,True
14837,11328126,2024-05-19,345.0,133.0,GAS,False,True,1.0,3.0,2.0,True,False,True,True,1.0,False,0.0,C,251.17550274223035,9000,51.0518206,3.702321,1959.0,GOOD,0.0,NON_FLOOD_ZONE,551.0,65.0,2.593984962406015,True
121925,11290318,2024-05-19,1495.0,213.0,FUELOIL,False,True,3.0,4.0,3.0,True,False,False,True,0.0,False,0.0,C,281.0,9030,51.078068,3.6904165,1959.0,AS_NEW,805.0,NON_FLOOD_ZONE,2540.0,65.0,7.018779342723005,True
96269,11335722,2024-05-21,499.0,155.0,GAS,False,False,1.0,2.0,1.0,False,False,False,True,8.0,False,0.0,C,271.0,9000,51.0406635,3.7360663,1967.0,AS_NEW,,Unknown,1189.0,57.0,3.2193548387096773,False
117279,10939682,2024-05-21,485.0,151.0,GAS,False,True,1.0,3.0,2.0,False,False,False,False,0.0,False,0.0,E,432.0,9032,51.088072,3.6968443,1978.0,JUST_RENOVATED,640.0,NON_FLOOD_ZONE,1581.0,46.0,3.2119205298013247,True
96273,11326335,2024-05-21,270.0,131.0,GAS,False,True,1.0,3.0,1.0,False,False,False,False,0.0,False,0.0,D,301.0,9000,51.0805013,3.7291397,,JUST_RENOVATED,59.0,Unknown,322.0,,2.0610687022900764,True
96428,11082214,2024-05-21,225.0,140.0,Unknown,False,False,1.0,4.0,1.0,True,True,True,True,25.0,False,0.0,E,427.0,9032,51.0894372,3.7154756,,TO_RENOVATE,82.0,NON_FLOOD_ZONE,649.0,,1.6071428571428572,True
90237,11281554,2024-05-21,545.0,131.0,Unknown,False,True,1.0,3.0,2.0,True,False,False,True,11.0,False,0.0,A,33.0,9000,51.065976,3.715238,2019.0,GOOD,,NON_FLOOD_ZONE,1406.0,5.0,4.1603053435114505,False
82187,11362021,2024-05-21,239.0,91.0,GAS,False,True,1.0,2.0,1.0,True,False,False,True,0.0,False,0.0,B,131.0,9000,51.0947142,3.7138238,1969.0,GOOD,,NON_FLOOD_ZONE,701.0,55.0,2.6263736263736264,False
7378,11356330,2024-05-21,335.0,112.0,GAS,False,True,1.0,2.0,1.0,True,False,False,True,7.0,False,0.0,D,355.0,9000,51.036281,3.7276058,1960.0,TO_BE_DONE_UP,,NON_FLOOD_ZONE,907.0,64.0,2.9910714285714284,False
72467,11377089,2024-05-21,440.0,161.0,ELECTRIC,False,True,1.0,3.0,2.0,True,True,False,True,0.0,True,175.0,C,256.0,9041,51.0852216,3.7717231,1996.0,GOOD,315.0,NON_FLOOD_ZONE,788.0,28.0,2.732919254658385,True
28062,11376819,2024-05-21,370.0,240.0,Unknown,False,False,1.0,4.0,1.0,False,True,False,False,0.0,False,0.0,F,568.0,9031,51.0670778,3.6382128,1971.0,TO_RENOVATE,818.0,NON_FLOOD_ZONE,1408.0,53.0,1.5416666666666667,True
38803,11358752,2024-05-21,449.0,139.0,GAS,True,True,1.0,3.0,2.0,True,False,False,False,0.0,False,0.0,B,114.0,9000,51.0134586,3.7048789,1900.0,JUST_RENOVATED,90.0,NON_FLOOD_ZONE,242.0,124.0,3.2302158273381294,True
41190,11305766,2024-05-21,748.0,210.0,PELLET,True,True,4.0,3.0,3.0,True,False,False,True,40.0,True,500.0,A,58.0,9041,51.0729055,3.8016655,2021.0,GOOD,641.0,NON_FLOOD_ZONE,1461.0,3.0,3.5619047619047617,True
60502,11376922,2024-05-21,385.0,86.0,GAS,False,True,1.0,1.0,1.0,False,False,False,True,16.0,False,0.0,C,269.0,9000,51.0552522,3.7273442,,GOOD,,NON_FLOOD_ZONE,805.0,,4.476744186046512,False
62481,11331278,2024-05-21,460.0,167.0,Unknown,False,False,1.0,4.0,2.0,False,True,False,True,35.0,True,93.0,B,130.0,9032,51.0830475,3.712351,2012.0,AS_NEW,225.0,NON_FLOOD_ZONE,918.0,12.0,2.754491017964072,True
13476,11202167,2024-05-22,264.0,85.0,ELECTRIC,False,True,1.0,2.0,1.0,True,False,True,True,0.0,False,0.0,B,185.0,9000,51.030724,3.7435981,1975.0,Unknown,,NON_FLOOD_ZONE,946.0,49.0,3.1058823529411765,False
14210,11354461,2024-05-22,220.0,75.0,GAS,False,True,1.0,2.0,1.0,False,False,False,False,0.0,False,0.0,D,349.0,9050,51.0360051,3.742629,1862.0,TO_RENOVATE,50.0,NON_FLOOD_ZONE,466.0,162.0,2.933333333333333,True
73131,11391903,2024-05-22,319.0,87.0,Unknown,False,True,1.0,2.0,1.0,False,False,False,False,0.0,False,0.0,C,255.0,9031,51.0461024,3.6284178,,Unknown,137.0,NON_FLOOD_ZONE,200.0,,3.6666666666666665,True
126376,11362920,2024-05-22,595.0,319.0,GAS,True,True,1.0,4.0,2.0,False,False,False,False,0.0,True,710.0,C,250.0,9032,51.0862509,3.7000719,1981.0,TO_BE_DONE_UP,928.0,Unknown,1200.0,43.0,1.865203761755486,True
118746,11326435,2024-05-22,379.0,85.0,Unknown,False,True,1.0,2.0,2.0,True,False,False,False,0.0,False,0.0,B,154.1249146757679,9000,51.030557,3.7167103,,Unknown,,NON_FLOOD_ZONE,972.0,,4.458823529411765,False
79013,11251832,2024-05-22,275.0,146.0,GAS,False,True,1.0,6.0,1.0,False,False,False,False,0.0,False,0.0,E,447.0,9000,51.0527769,3.7333733,,Unknown,43.0,CIRCUMSCRIBED_FLOOD_ZONE,247.0,,1.8835616438356164,True
10956,11307150,2024-05-22,360.0,90.0,GAS,False,True,1.0,3.0,1.0,False,False,False,False,0.0,False,0.0,C,178.0,9000,51.0583558,3.6958236,1979.0,TO_RENOVATE,33.0,NON_FLOOD_ZONE,1023.0,45.0,4.0,True
79310,11381563,2024-05-22,399.0,92.0,Unknown,False,True,1.0,2.0,1.0,False,False,True,True,13.0,False,0.0,A,84.0,9000,51.0663271,3.7111216,2018.0,Unknown,,NON_FLOOD_ZONE,902.0,6.0,4.336956521739131,False
126155,11381183,2024-05-22,349.0,145.0,ELECTRIC,False,True,1.0,2.0,1.0,True,False,False,True,4.0,False,0.0,E,480.0,9030,51.0694198,3.6830957,,TO_BE_DONE_UP,50.0,NON_FLOOD_ZONE,834.0,,2.406896551724138,True
19723,10756774,2024-05-22,150.0,38.0,Unknown,False,True,1.0,1.0,1.0,True,False,False,False,0.0,False,0.0,C,286.0,9040,51.058485,3.7443712,1968.0,GOOD,,NON_FLOOD_ZONE,570.0,56.0,3.9473684210526314,False
58265,11329485,2024-05-22,269.0,150.0,Unknown,False,False,1.0,4.0,1.0,True,False,False,True,50.0,False,0.0,F,511.0,9050,51.0381048,3.7438085,,TO_RENOVATE,100.0,Unknown,715.0,,1.7933333333333332,True
87909,11291335,2024-05-22,379.0,127.0,Unknown,False,True,1.0,3.0,1.0,False,True,False,False,0.0,True,35.0,B,163.0,9000,51.0666136,3.7008477,,JUST_RENOVATED,74.0,Unknown,879.0,,2.984251968503937,True
63116,11360411,2024-05-22,259.0,85.0,Unknown,False,False,1.0,2.0,1.0,True,False,False,False,0.0,False,0.0,A,85.0,9940,51.1743641,3.7740128,2007.0,GOOD,,NON_FLOOD_ZONE,564.0,17.0,3.0470588235294116,False
61159,11349398,2024-05-22,189.0,30.0,Unknown,False,True,1.0,1.0,1.0,False,False,False,False,0.0,False,0.0,B,158.0,9000,51.0670799,3.7291675,,AS_NEW,,NON_FLOOD_ZONE,689.0,,6.3,False
88416,11168415,2024-05-22,498.0,213.0,GAS,False,True,2.0,3.0,2.0,False,False,False,False,0.0,False,0.0,B,164.0,9820,50.9754503,3.7205672,1959.0,GOOD,364.0,NON_FLOOD_ZONE,1142.0,65.0,2.3380281690140845,True
62681,11376913,2024-05-22,715.0,242.0,Unknown,False,False,2.0,2.0,1.0,False,False,False,True,35.0,False,0.0,D,384.0,9000,51.055191,3.7240956,,Unknown,,NON_FLOOD_ZONE,1472.0,,2.9545454545454546,False
