property_id,date_obtained,price,property_type,livable_area,heating_type,has_photovoltaic_panels,has_double_glazing,number_of_rooms,number_of_bathrooms,number_of_bedrooms,number_of_toilets,has_living_room,has_dining_room,has_attic,has_basement,has_terrace,terrace_surface,has_garden,garden_surface,energy_label,primary_energy_consumption,postal_code,latitude,longitude,year_built,building_condition,floor_number,total_floors,property_size,flood_zone_type,cadastral_income
11325184,16052024,419000,APARTMENT,130.0,GAS,,True,,1.0,3,1.0,False,True,,,,,,,C,270.0,9000,51.044864,3.7341966,1999.0,GOOD,,,,NON_FLOOD_ZONE,852
11325184,21052024,419000,APARTMENT,130.0,GAS,,True,,1.0,3,1.0,False,True,,,,,,,C,270.0,9000,51.044864,3.7341966,1999.0,GOOD,,,,NON_FLOOD_ZONE,852
11325184,19052024,419000,APARTMENT,130.0,GAS,,True,,1.0,3,1.0,False,True,,,,,,,C,270.0,9000,51.044864,3.7341966,1999.0,GOOD,,,,NON_FLOOD_ZONE,852
11150274,19052024,329900,HOUSE,126.0,,,True,1.0,1.0,4,1.0,True,,,,,,True,5.0,B,191.0,9000,51.0581596,3.7425873,,,,,62.0,NON_FLOOD_ZONE,549
11397775,21052024,350000,HOUSE,137.0,GAS,,True,,1.0,4,1.0,True,,,True,True,5.0,,,C,237.0,9000,51.0691833,3.7061407,1945.0,JUST_RENOVATED,,3.0,78.0,NON_FLOOD_ZONE,0
11360910,18052024,259000,APARTMENT,46.0,FUELOIL,,,,1.0,1,,False,,,True,,,,,,,9000,51.0495032,3.7334833,1968.0,GOOD,,6.0,,NON_FLOOD_ZONE,0
11360910,16052024,259000,APARTMENT,46.0,FUELOIL,,,,1.0,1,,False,,,True,,,,,,,9000,51.0495032,3.7334833,1968.0,GOOD,,6.0,,NON_FLOOD_ZONE,0
11360910,19052024,259000,APARTMENT,46.0,FUELOIL,,,,1.0,1,,False,,,True,,,,,,,9000,51.0495032,3.7334833,1968.0,GOOD,,6.0,,NON_FLOOD_ZONE,0
11376875,18052024,305000,HOUSE,45.0,,True,True,6.0,1.0,1,1.0,True,,,,True,,,,A,,9000,51.0563179,3.7138562,2025.0,GOOD,,3.0,45.0,,0
11376875,16052024,305000,HOUSE,45.0,,True,True,6.0,1.0,1,1.0,True,,,,True,,,,A,,9000,51.0563179,3.7138562,2025.0,GOOD,,3.0,45.0,,0
11376875,21052024,305000,HOUSE,45.0,,True,True,6.0,1.0,1,1.0,True,,,,True,,,,A,,9000,51.0563179,3.7138562,2025.0,GOOD,,3.0,45.0,,0
11376875,19052024,305000,HOUSE,45.0,,True,True,6.0,1.0,1,1.0,True,,,,True,,,,A,,9000,51.0563179,3.7138562,2025.0,GOOD,,3.0,45.0,,0
11395680,18052024,690000,APARTMENT,167.0,,True,,6.0,2.0,2,1.0,False,,,,True,13.0,,,,,9040,51.064855,3.7528238,,,,,,,0
11395680,21052024,690000,APARTMENT,167.0,,True,,6.0,2.0,2,1.0,False,,,,True,13.0,,,,,9040,51.064855,3.7528238,,,,,,,0
11395680,19052024,690000,APARTMENT,167.0,,True,,6.0,2.0,2,1.0,False,,,,True,13.0,,,,,9040,51.064855,3.7528238,,,,,,,0
11347503,19052024,990000,HOUSE,212.0,,,True,,1.0,2,2.0,True,,,,True,24.0,,,A,91.0,9000,51.0400196,3.7397811,2012.0,AS_NEW,,,212.0,,0
11394799,18052024,495000,HOUSE,161.0,GAS,True,True,,1.0,3,2.0,False,,True,,True,,True,130.0,B,113.0,9040,51.0535363,3.761676,2012.0,,,2.0,270.0,NON_FLOOD_ZONE,0
11394799,19052024,495000,HOUSE,161.0,GAS,True,True,,1.0,3,2.0,False,,True,,True,,True,130.0,B,113.0,9040,51.0535363,3.761676,2012.0,,,2.0,270.0,NON_FLOOD_ZONE,0
10601901,21052024,260000,APARTMENT,55.0,,False,True,4.0,1.0,1,,False,,,,,,,,A,98.0,9000,51.0539067,3.7178208,2016.0,,,4.0,,NON_FLOOD_ZONE,862
10601901,19052024,260000,APARTMENT,55.0,,False,True,4.0,1.0,1,,False,,,,,,,,A,98.0,9000,51.0539067,3.7178208,2016.0,,,4.0,,NON_FLOOD_ZONE,862
11384354,19052024,599000,HOUSE,,,,,,2.0,5,,True,True,,,,,,,B,145.0,9000,51.0386536,3.7287832,1901.0,,,,115.0,,1053
10796158,19052024,495000,HOUSE,,GAS,,True,,3.0,6,3.0,True,,,True,True,24.0,True,70.0,C,247.0,9050,51.0311984,3.7471745,,AS_NEW,,,212.0,NON_FLOOD_ZONE,0
11383515,19052024,575000,HOUSE,250.0,,,False,1.0,,0,3.0,True,,,True,,,,,C,261.0,9000,51.0479552,3.7340399,,TO_RENOVATE,,,102.0,NON_FLOOD_ZONE,0
11392493,18052024,429250,HOUSE,157.0,,,True,,2.0,4,,True,True,,,True,14.0,True,45.0,,,9030,51.0856034,3.6659281,2022.0,,,,160.0,NON_FLOOD_ZONE,0
11392493,21052024,429250,HOUSE,157.0,,,True,,2.0,4,,True,True,,,True,14.0,True,45.0,,,9030,51.0856034,3.6659281,2022.0,,,,160.0,NON_FLOOD_ZONE,0
11392493,19052024,429250,HOUSE,157.0,,,True,,2.0,4,,True,True,,,True,14.0,True,45.0,,,9030,51.0856034,3.6659281,2022.0,,,,160.0,NON_FLOOD_ZONE,0
11273229,18052024,259000,HOUSE,101.0,GAS,False,True,,1.0,3,1.0,False,,,,,,,,B,187.0,9032,51.0893949,3.7150826,1935.0,GOOD,,,60.0,NON_FLOOD_ZONE,334
11273229,16052024,259000,HOUSE,101.0,GAS,False,True,,1.0,3,1.0,False,,,,,,,,B,187.0,9032,51.0893949,3.7150826,1935.0,GOOD,,,60.0,NON_FLOOD_ZONE,334
11273229,21052024,259000,HOUSE,101.0,GAS,False,True,,1.0,3,1.0,False,,,,,,,,B,187.0,9032,51.0893949,3.7150826,1935.0,GOOD,,,60.0,NON_FLOOD_ZONE,334
11273229,19052024,259000,HOUSE,101.0,GAS,False,True,,1.0,3,1.0,False,,,,,,,,B,187.0,9032,51.0893949,3.7150826,1935.0,GOOD,,,60.0,NON_FLOOD_ZONE,334
11339377,19052024,299000,APARTMENT,67.0,,,False,1.0,1.0,1,,True,,,,True,14.0,,,A,68.0,9000,51.0509732,3.7012871,2019.0,AS_NEW,,,,NON_FLOOD_ZONE,0
11170483,19052024,390000,APARTMENT,86.0,GAS,,True,,1.0,1,1.0,False,,,True,True,26.0,,,,,9052,50.9990146,3.6880356,2022.0,,,3.0,,NON_FLOOD_ZONE,0
11362024,18052024,295000,HOUSE,119.0,,,True,,1.0,3,1.0,True,,True,True,True,62.0,True,355.0,B,138.0,9000,51.1562216,3.8276203,1964.0,GOOD,,,637.0,NON_FLOOD_ZONE,451
11362024,16052024,295000,HOUSE,119.0,,,True,,1.0,3,1.0,True,,True,True,True,62.0,True,355.0,B,138.0,9000,51.1562216,3.8276203,1964.0,GOOD,,,637.0,NON_FLOOD_ZONE,451
11362024,21052024,295000,HOUSE,119.0,,,True,,1.0,3,1.0,True,,True,True,True,62.0,True,355.0,B,138.0,9000,51.1562216,3.8276203,1964.0,GOOD,,,637.0,NON_FLOOD_ZONE,451
11362024,19052024,295000,HOUSE,119.0,,,True,,1.0,3,1.0,True,,True,True,True,62.0,True,355.0,B,138.0,9000,51.1562216,3.8276203,1964.0,GOOD,,,637.0,NON_FLOOD_ZONE,451
11301744,19052024,775000,HOUSE,,GAS,False,True,,3.0,3,3.0,True,True,,,,,,,B,,9000,51.0296661,3.7062115,2007.0,AS_NEW,,3.0,84.0,NON_FLOOD_ZONE,0
